product_id,product_name,category_id,seller_id,supplier_id,brand,product_description,warranty_period,unit_price,stock_quantity
1,Fenwick Fragrances Essential,42,2790,1412,,"High quality fragrances from Fenwick, built for everyday reliability.",36.0,1112.83,2502
2,Alto Car Accessories Mini,54,5606,185,Alto,"High quality car accessories from Alto, built for everyday reliability.",36.0,1031.31,4765
3,Marlowe Team Sports One,32,7603,911,Marlowe,"High quality team sports from Marlowe, built for everyday reliability.",18.0,179.31,1878
4,Marlowe Skincare One,39,6082,1209,Marlowe,"High quality skincare from Marlowe, built for everyday reliability.",24.0,1233.89,4878
5,Nordwell Dairy Ultra,52,6480,191,Nordwell,"High quality dairy from Nordwell, built for everyday reliability.",12.0,138.85,3750
6,Rosewood Accessories Series X,27,7992,468,Rosewood,,,524.31,4851
7,Zentra Beverages Ultra,50,4589,333,,"High quality beverages from Zentra, built for everyday reliability.",36.0,1526.78,3262
8,Brightline Organizers Classic,61,3697,689,,"High quality organizers from Brightline, built for everyday reliability.",18.0,1061.8,4088
9,Brightline Car Accessories Series X,54,4659,1207,Brightline,,24.0,273.51,3142
10,Zentra Snacks Flex,49,254,70,Zentra,"High quality snacks from Zentra, built for everyday reliability.",36.0,351.47,4816
11,Crestview Tyres & Wheels Pro,57,6274,343,Crestview,"High quality tyres & wheels from Crestview, built for everyday reliability.",24.0,1166.3,43
12,Verdant Dairy One,52,7066,1077,Verdant,"High quality dairy from Verdant, built for everyday reliability.",,1460.76,1635
13,Marlowe Staples Studio,51,2264,34,Marlowe,"High quality staples from Marlowe, built for everyday reliability.",6.0,1527.75,2154
14,Nordwell Board Games Mini,45,1035,949,Nordwell,"High quality board games from Nordwell, built for everyday reliability.",12.0,1910.2,4011
15,Northgate Dairy Go,52,5942,1284,Northgate,"High quality dairy from Northgate, built for everyday reliability.",24.0,678.52,4379
16,Brightline Headphones Max,13,5314,1313,Brightline,"High quality headphones from Brightline, built for everyday reliability.",18.0,88.77,4446
17,Vivex Cycling One,31,5775,1152,Vivex,"High quality cycling from Vivex, built for everyday reliability.",36.0,924.98,4236
18,Kairo Women's Clothing Studio,25,4586,308,Kairo,,,73.06,2828
19,Pinehurst Bakery Mini,53,4947,90,Pinehurst,"High quality bakery from Pinehurst, built for everyday reliability.",36.0,1377.18,1301
20,Beacon Non-Fiction Essential,35,1326,898,Beacon,"High quality non-fiction from Beacon, built for everyday reliability.",,1803.98,4206
21,Fenwick Outdoor Toys One,47,4860,430,Fenwick,"High quality outdoor toys from Fenwick, built for everyday reliability.",24.0,1359.81,3778
22,Beacon Cleaning Supplies Go,23,4935,468,Beacon,"High quality cleaning supplies from Beacon, built for everyday reliability.",6.0,1689.93,1548
23,Alto Cleaning Supplies Pro,23,7630,1412,Alto,"High quality cleaning supplies from Alto, built for everyday reliability.",6.0,1544.62,1291
24,Rosewood Smartphones Go,11,7080,976,Rosewood,"High quality smartphones from Rosewood, built for everyday reliability.",12.0,994.94,2314
25,Alto Educational 2.0,48,1551,394,Alto,"High quality educational from Alto, built for everyday reliability.",6.0,718.63,2832
26,Zentra Women's Clothing Plus,25,2414,342,Zentra,"High quality women's clothing from Zentra, built for everyday reliability.",6.0,1093.03,2632
27,Marlowe Makeup Plus,41,2909,1241,Marlowe,"High quality makeup from Marlowe, built for everyday reliability.",12.0,1155.93,4822
28,Alto Car Accessories Elite,54,614,884,Alto,"High quality car accessories from Alto, built for everyday reliability.",12.0,1827.81,1323
29,Pinehurst Men's Clothing Prime,24,4839,458,Pinehurst,"High quality men's clothing from Pinehurst, built for everyday reliability.",12.0,185.13,438
30,Solace Women's Clothing Neo,25,7534,1279,Solace,"High quality women's clothing from Solace, built for everyday reliability.",6.0,211.79,1085
31,Marlowe Lighting Core,22,2241,964,Marlowe,"High quality lighting from Marlowe, built for everyday reliability.",12.0,1185.45,4370
32,Alto Headphones Pro,13,6906,1263,Alto,"High quality headphones from Alto, built for everyday reliability.",12.0,1161.81,3687
33,Fenwick Fitness Equipment Go,29,4546,469,Fenwick,"High quality fitness equipment from Fenwick, built for everyday reliability.",36.0,1488.43,4190
34,Ironclad Cycling Studio,31,3240,522,Ironclad,"High quality cycling from Ironclad, built for everyday reliability.",12.0,279.89,1904
35,Alderwood Televisions Prime,15,1923,1049,Alderwood,"High quality televisions from Alderwood, built for everyday reliability.",6.0,133.32,181
36,Beacon Cameras Core,14,4237,650,Beacon,"High quality cameras from Beacon, built for everyday reliability.",36.0,1778.44,45
37,Zentra Dairy Pro,52,7541,863,Zentra,"High quality dairy from Zentra, built for everyday reliability.",36.0,901.97,4431
38,Northgate Women's Clothing 2.0,25,6319,337,Northgate,"High quality women's clothing from Northgate, built for everyday reliability.",24.0,1785.97,1522
39,Nordwell Action Figures Prime,44,3159,1241,Nordwell,"High quality action figures from Nordwell, built for everyday reliability.",12.0,389.78,616
40,Alto Action Figures Neo,44,5438,1495,Alto,"High quality action figures from Alto, built for everyday reliability.",6.0,1535.58,4587
41,Alderwood Skincare Classic,39,519,768,Alderwood,"High quality skincare from Alderwood, built for everyday reliability.",6.0,1458.56,944
42,Ironclad Organizers Neo,61,315,799,Ironclad,"High quality organizers from Ironclad, built for everyday reliability.",6.0,1391.14,366
43,Fenwick Skincare Max,39,2318,33,Fenwick,"High quality skincare from Fenwick, built for everyday reliability.",24.0,531.76,4755
44,Kestrel Snacks Elite,49,6240,1204,Kestrel,"High quality snacks from Kestrel, built for everyday reliability.",6.0,583.22,4462
45,Alto Puzzles Mini,46,5157,596,Alto,"High quality puzzles from Alto, built for everyday reliability.",24.0,354.85,1339
46,Trueform Furniture Edition,60,6417,388,Trueform,"High quality furniture from Trueform, built for everyday reliability.",6.0,1457.14,1016
47,Trueform Smartwatches Classic,17,2038,992,Trueform,"High quality smartwatches from Trueform, built for everyday reliability.",24.0,983.51,2965
48,Trueform Car Accessories Prime,54,6756,253,Trueform,"High quality car accessories from Trueform, built for everyday reliability.",36.0,290.24,3128
49,Statik Beverages Prime,50,4311,1486,,"High quality beverages from Statik, built for everyday reliability.",18.0,1037.5,4365
50,Willowmere Smartwatches One,17,6300,56,,"High quality smartwatches from Willowmere, built for everyday reliability.",18.0,1987.14,321
51,Brightline Fragrances 2.0,42,6197,1319,Brightline,"High quality fragrances from Brightline, built for everyday reliability.",18.0,1654.92,3719
52,Lumen Staples Lite,51,6835,317,Lumen,"High quality staples from Lumen, built for everyday reliability.",24.0,71.04,4650
53,Zentra Board Games Air,45,7660,1349,Zentra,"High quality board games from Zentra, built for everyday reliability.",18.0,1545.39,4334
54,Lumen Skincare Elite,39,3404,274,Lumen,"High quality skincare from Lumen, built for everyday reliability.",12.0,207.34,1744
55,Trueform Bakery Essential,53,4041,262,Trueform,"High quality bakery from Trueform, built for everyday reliability.",24.0,825.07,4116
56,Alderwood Action Figures Ultra,44,6144,1185,Alderwood,"High quality action figures from Alderwood, built for everyday reliability.",24.0,148.76,1327
57,Halcyon Team Sports Classic,32,2571,166,Halcyon,"High quality team sports from Halcyon, built for everyday reliability.",18.0,1549.41,1206
58,Novara Outdoor Toys Studio,47,5991,1331,Novara,,6.0,620.74,598
59,Alto Haircare 2.0,40,906,819,Alto,,24.0,158.19,341
60,Northgate Men's Clothing Elite,24,2210,601,Northgate,"High quality men's clothing from Northgate, built for everyday reliability.",18.0,1182.54,4181
61,Northgate Cookware Prime,18,5523,164,Northgate,"High quality cookware from Northgate, built for everyday reliability.",36.0,551.36,2755
62,Rosewood Children's Books Max,36,354,115,Rosewood,"High quality children's books from Rosewood, built for everyday reliability.",12.0,1462.15,4751
63,Verdant Car Accessories Neo,54,7766,692,Verdant,,36.0,1389.7,684
64,Ironclad Grooming 2.0,43,6637,571,Ironclad,"High quality grooming from Ironclad, built for everyday reliability.",12.0,1749.33,4933
65,Zentra Haircare Flex,40,5671,833,Zentra,"High quality haircare from Zentra, built for everyday reliability.",18.0,1949.91,1069
66,Cascadia Tyres & Wheels Edition,57,5987,1083,Cascadia,"High quality tyres & wheels from Cascadia, built for everyday reliability.",6.0,1902.99,2174
67,Alderwood Headphones Lite,13,378,1357,Alderwood,"High quality headphones from Alderwood, built for everyday reliability.",,1871.41,2612
68,Statik Car Accessories Pro,54,1493,310,Statik,"High quality car accessories from Statik, built for everyday reliability.",36.0,320.58,2223
69,Pinehurst Cleaning Supplies Mini,23,5336,1128,Pinehurst,"High quality cleaning supplies from Pinehurst, built for everyday reliability.",36.0,549.41,1189
70,Kestrel Dairy Studio,52,862,744,Kestrel,"High quality dairy from Kestrel, built for everyday reliability.",12.0,807.47,288
71,Rosewood Yoga Mini,33,284,650,Rosewood,"High quality yoga from Rosewood, built for everyday reliability.",36.0,1240.95,3427
72,Halcyon Televisions Lite,15,7764,469,Halcyon,"High quality televisions from Halcyon, built for everyday reliability.",12.0,1349.53,1717
73,Statik Storage One,21,7242,491,Statik,"High quality storage from Statik, built for everyday reliability.",6.0,917.32,1541
74,Vivex Fitness Equipment Air,29,2708,228,Vivex,"High quality fitness equipment from Vivex, built for everyday reliability.",36.0,1690.16,2282
75,Trueform Outdoor Toys 2.0,47,5137,555,Trueform,"High quality outdoor toys from Trueform, built for everyday reliability.",6.0,380.86,3294
76,Statik Haircare Go,40,3621,535,Statik,"High quality haircare from Statik, built for everyday reliability.",12.0,1624.58,4049
77,Alto Bags 2.0,28,7766,1365,Alto,"High quality bags from Alto, built for everyday reliability.",18.0,1300.89,711
78,Alderwood Televisions One,15,7875,1059,Alderwood,"High quality televisions from Alderwood, built for everyday reliability.",6.0,1756.98,3986
79,Kestrel Educational Elite,48,3410,732,Kestrel,"High quality educational from Kestrel, built for everyday reliability.",36.0,1140.81,871
80,Lumen Comics Prime,37,241,1013,Lumen,"High quality comics from Lumen, built for everyday reliability.",36.0,711.27,1800
81,Nordwell Printers Mini,59,2392,243,Nordwell,"High quality printers from Nordwell, built for everyday reliability.",18.0,560.3,4363
82,Willowmere Cycling Air,31,972,369,Willowmere,"High quality cycling from Willowmere, built for everyday reliability.",12.0,1525.21,1160
83,Crestview Makeup Elite,41,3582,610,Crestview,"High quality makeup from Crestview, built for everyday reliability.",12.0,974.31,4277
84,Solace Motorbike Accessories Edition,55,59,893,Solace,"High quality motorbike accessories from Solace, built for everyday reliability.",,1722.21,4862
85,Verdant Comics One,37,3056,141,Verdant,"High quality comics from Verdant, built for everyday reliability.",12.0,44.35,126
86,Lumen Fitness Equipment Max,29,5829,1450,Lumen,"High quality fitness equipment from Lumen, built for everyday reliability.",18.0,125.49,1942
87,Lumen Outdoor Toys Ultra,47,3643,916,Lumen,"High quality outdoor toys from Lumen, built for everyday reliability.",24.0,594.06,4655
88,Verdant Outdoor Toys Plus,47,3910,336,Verdant,"High quality outdoor toys from Verdant, built for everyday reliability.",36.0,1946.9,3343
89,Beacon Smartwatches Studio,17,1036,1495,Beacon,"High quality smartwatches from Beacon, built for everyday reliability.",,1083.53,4341
90,Statik Car Accessories Neo,54,2521,1364,Statik,"High quality car accessories from Statik, built for everyday reliability.",36.0,305.51,2265
91,Alderwood Smartphones Essential,11,4796,1255,Alderwood,"High quality smartphones from Alderwood, built for everyday reliability.",24.0,1107.8,989
92,Alto Academic Classic,38,6319,1406,Alto,"High quality academic from Alto, built for everyday reliability.",6.0,306.44,2599
93,Alderwood Outdoor Toys Edition,47,1650,646,Alderwood,,6.0,947.77,2421
94,Kairo Puzzles 2.0,46,5970,409,Kairo,"High quality puzzles from Kairo, built for everyday reliability.",6.0,12.38,608
95,Fenwick Puzzles Ultra,46,5888,776,Fenwick,"High quality puzzles from Fenwick, built for everyday reliability.",6.0,628.91,1350
96,Trueform Beverages One,50,5516,1220,Trueform,"High quality beverages from Trueform, built for everyday reliability.",24.0,1357.71,203
97,Crestview Smartphones Studio,11,2510,325,,"High quality smartphones from Crestview, built for everyday reliability.",18.0,188.83,485
98,Brightline Camping Gear Prime,30,2721,1198,Brightline,"High quality camping gear from Brightline, built for everyday reliability.",36.0,1881.83,1283
99,Zentra Cameras Elite,14,7053,472,Zentra,,6.0,1151.86,458
100,Solace Beverages Core,50,6940,308,Solace,"High quality beverages from Solace, built for everyday reliability.",36.0,82.53,2011
101,Kairo Car Accessories Series X,54,834,490,Kairo,"High quality car accessories from Kairo, built for everyday reliability.",24.0,300.29,3755
102,Vivex Puzzles Go,46,2354,761,Vivex,"High quality puzzles from Vivex, built for everyday reliability.",18.0,1862.21,4080
103,Brightline Action Figures Series X,44,4612,670,Brightline,"High quality action figures from Brightline, built for everyday reliability.",12.0,1459.54,4832
104,Pinehurst Lighting Studio,22,3514,1036,Pinehurst,"High quality lighting from Pinehurst, built for everyday reliability.",18.0,1920.6,880
105,Northgate Cleaning Supplies Essential,23,1947,337,Northgate,"High quality cleaning supplies from Northgate, built for everyday reliability.",6.0,1589.91,258
106,Crestview Educational Max,48,3487,717,Crestview,"High quality educational from Crestview, built for everyday reliability.",,1768.12,3662
107,Statik Children's Books Classic,36,7848,145,Statik,"High quality children's books from Statik, built for everyday reliability.",,1520.25,4119
108,Halcyon Staples Edition,51,2789,635,Halcyon,"High quality staples from Halcyon, built for everyday reliability.",18.0,403.81,2491
109,Lumen Laptops Plus,12,6948,1066,Lumen,"High quality laptops from Lumen, built for everyday reliability.",12.0,1357.97,785
110,Willowmere Lighting Classic,22,1415,1450,Willowmere,"High quality lighting from Willowmere, built for everyday reliability.",24.0,980.68,1923
111,Statik Printers One,59,1420,943,Statik,"High quality printers from Statik, built for everyday reliability.",24.0,1835.05,4131
112,Kairo Furniture Elite,19,2339,1268,Kairo,"High quality furniture from Kairo, built for everyday reliability.",36.0,22.3,4450
113,Lumen Academic One,38,3228,991,Lumen,"High quality academic from Lumen, built for everyday reliability.",36.0,394.49,3340
114,Ironclad Educational Studio,48,7,938,Ironclad,"High quality educational from Ironclad, built for everyday reliability.",24.0,1348.72,3821
115,Trueform Non-Fiction Mini,35,2868,41,Trueform,"High quality non-fiction from Trueform, built for everyday reliability.",6.0,1424.98,4076
116,Cascadia Cookware Elite,18,5010,1260,Cascadia,"High quality cookware from Cascadia, built for everyday reliability.",12.0,53.51,709
117,Marlowe Motorbike Accessories Ultra,55,1526,162,Marlowe,"High quality motorbike accessories from Marlowe, built for everyday reliability.",36.0,226.87,2980
118,Nordwell Lighting Lite,22,5186,1492,Nordwell,"High quality lighting from Nordwell, built for everyday reliability.",24.0,440.92,23
119,Alto Car Accessories Classic,54,7595,238,Alto,"High quality car accessories from Alto, built for everyday reliability.",6.0,885.0,4209
120,Kestrel Puzzles Ultra,46,6216,1292,Kestrel,"High quality puzzles from Kestrel, built for everyday reliability.",18.0,68.07,360
121,Trueform Smartphones Max,11,2368,397,Trueform,"High quality smartphones from Trueform, built for everyday reliability.",6.0,1194.84,2584
122,Kestrel Educational Essential,48,2050,1178,Kestrel,"High quality educational from Kestrel, built for everyday reliability.",12.0,1101.96,1520
123,Alderwood Fiction Lite,34,5671,925,Alderwood,"High quality fiction from Alderwood, built for everyday reliability.",18.0,822.75,1536
124,Solace Puzzles Flex,46,4232,991,Solace,"High quality puzzles from Solace, built for everyday reliability.",36.0,1554.06,1821
125,Alto Laptops Core,12,618,913,Alto,"High quality laptops from Alto, built for everyday reliability.",6.0,166.41,3893
126,Ironclad Stationery Essential,58,6882,149,Ironclad,"High quality stationery from Ironclad, built for everyday reliability.",36.0,721.01,4673
127,Alderwood Cleaning Supplies Core,23,2922,166,Alderwood,"High quality cleaning supplies from Alderwood, built for everyday reliability.",,412.13,1742
128,Lumen Staples Edition,51,1269,634,Lumen,"High quality staples from Lumen, built for everyday reliability.",24.0,1838.03,3763
129,Brightline Fitness Equipment Elite,29,2117,1334,Brightline,"High quality fitness equipment from Brightline, built for everyday reliability.",,1936.55,1121
130,Solace Storage Classic,21,3392,294,Solace,"High quality storage from Solace, built for everyday reliability.",24.0,1385.37,4901
131,Verdant Children's Books Pro,36,2308,1398,Verdant,"High quality children's books from Verdant, built for everyday reliability.",36.0,1124.87,3785
132,Verdant Academic Neo,38,742,935,Verdant,"High quality academic from Verdant, built for everyday reliability.",,1117.59,2232
133,Verdant Smartphones Ultra,11,6579,169,,"High quality smartphones from Verdant, built for everyday reliability.",36.0,766.85,1013
134,Northgate Bags 2.0,28,2793,613,Northgate,"High quality bags from Northgate, built for everyday reliability.",18.0,1923.12,123
135,Pinehurst Beverages Essential,50,2781,504,Pinehurst,"High quality beverages from Pinehurst, built for everyday reliability.",18.0,581.36,1069
136,Nordwell Televisions Lite,15,2885,1031,Nordwell,,24.0,355.77,913
137,Zentra Academic One,38,4083,945,Zentra,"High quality academic from Zentra, built for everyday reliability.",6.0,231.23,4020
138,Halcyon Televisions 2.0,15,2738,784,Halcyon,"High quality televisions from Halcyon, built for everyday reliability.",,1086.16,3236
139,Alderwood Headphones Air,13,7302,89,Alderwood,"High quality headphones from Alderwood, built for everyday reliability.",12.0,1448.99,4290
140,Fenwick Cookware Core,18,870,77,Fenwick,"High quality cookware from Fenwick, built for everyday reliability.",6.0,1283.88,416
141,Nordwell Men's Clothing Max,24,3464,117,Nordwell,"High quality men's clothing from Nordwell, built for everyday reliability.",6.0,699.4,444
142,Marlowe Non-Fiction Max,35,6968,1486,Marlowe,"High quality non-fiction from Marlowe, built for everyday reliability.",24.0,1538.58,669
143,Crestview Tablets Mini,16,6540,678,Crestview,"High quality tablets from Crestview, built for everyday reliability.",18.0,1894.06,4123
144,Northgate Staples 2.0,51,5017,159,Northgate,"High quality staples from Northgate, built for everyday reliability.",18.0,84.96,3937
145,Kairo Tools Lite,56,1915,125,Kairo,"High quality tools from Kairo, built for everyday reliability.",12.0,733.27,4401
146,Cascadia Educational Neo,48,3614,699,,"High quality educational from Cascadia, built for everyday reliability.",6.0,1811.42,2048
147,Alderwood Footwear Flex,26,2778,837,Alderwood,"High quality footwear from Alderwood, built for everyday reliability.",36.0,1523.65,2330
148,Alto Bedding Prime,20,3691,151,Alto,"High quality bedding from Alto, built for everyday reliability.",24.0,162.95,2418
149,Halcyon Educational Mini,48,5397,935,Halcyon,"High quality educational from Halcyon, built for everyday reliability.",18.0,1761.23,465
150,Alderwood Fragrances Plus,42,3249,365,Alderwood,"High quality fragrances from Alderwood, built for everyday reliability.",36.0,455.12,4898
151,Beacon Camping Gear Series X,30,695,1475,Beacon,,12.0,1329.59,2725
152,Rosewood Cameras Series X,14,4038,945,Rosewood,"High quality cameras from Rosewood, built for everyday reliability.",36.0,761.37,3239
153,Brightline Men's Clothing Elite,24,3754,364,Brightline,"High quality men's clothing from Brightline, built for everyday reliability.",,206.47,1613
154,Halcyon Yoga Go,33,312,760,Halcyon,"High quality yoga from Halcyon, built for everyday reliability.",,236.95,379
155,Cascadia Dairy Ultra,52,3788,1490,Cascadia,"High quality dairy from Cascadia, built for everyday reliability.",36.0,1978.57,3893
156,Alto Fragrances Essential,42,4190,35,Alto,"High quality fragrances from Alto, built for everyday reliability.",18.0,1618.99,1806
157,Kestrel Non-Fiction 2.0,35,1288,28,Kestrel,"High quality non-fiction from Kestrel, built for everyday reliability.",,1651.65,2280
158,Fenwick Fiction Mini,34,1496,885,Fenwick,"High quality fiction from Fenwick, built for everyday reliability.",24.0,1616.65,2836
159,Brightline Cleaning Supplies Air,23,3180,1313,,"High quality cleaning supplies from Brightline, built for everyday reliability.",6.0,1503.32,3975
160,Solace Bags Core,28,2968,724,Solace,"High quality bags from Solace, built for everyday reliability.",18.0,69.49,840
161,Beacon Non-Fiction 2.0,35,3748,943,Beacon,"High quality non-fiction from Beacon, built for everyday reliability.",6.0,1520.19,1817
162,Crestview Fitness Equipment Edition,29,5681,1477,,"High quality fitness equipment from Crestview, built for everyday reliability.",36.0,897.64,199
163,Kairo Team Sports Prime,32,5891,189,Kairo,"High quality team sports from Kairo, built for everyday reliability.",12.0,1517.26,3934
